2024-08-09T19:08:20.448Z P:25984 T:16232] SyncServiceImpl::Initialize,SyncState after the account was authenticated: NotSignedIn
2024-08-09T19:08:23.832Z P:25984 T:22972] SyncManagerImpl::ConfigureSyncer,Types to download: Encryption Keys
2024-08-09T19:08:28.404Z P:25984 T:16232] ModelLoadManager::Configure,Desired: Device Info, User Consents, Send Tab To Self, Encryption Keys preferred: Device Info, User Consents, Send Tab To Self, Encryption Keys
2024-08-09T19:08:28.405Z P:25984 T:16232] ModelLoadManager::LoadDesiredTypes,Desired: Device Info, User Consents, Send Tab To Self
2024-08-09T19:08:28.409Z P:25984 T:16232] ModelLoadManager::ModelLoadCallback,Load Device Info: success
2024-08-09T19:08:28.409Z P:25984 T:16232] ModelLoadManager::ModelLoadCallback,Load User Consents: success
2024-08-09T19:08:28.409Z P:25984 T:16232] ModelLoadManager::ModelLoadCallback,Load Send Tab To Self: success
2024-08-09T19:08:28.409Z P:25984 T:16232] ModelLoadManager::NotifyDelegateIfReadyForConfigure,All data types are ready for configuration
2024-08-09T19:08:28.409Z P:25984 T:16232] DataTypeManagerImpl::OnAllDataTypesReadyForConfigure,All data types are ready for configuration
2024-08-09T19:08:28.409Z P:25984 T:16232] DataTypeManagerImpl::StartNextConfiguration,Size: 3 front: Encryption Keys
2024-08-09T19:08:28.409Z P:25984 T:16232] DataTypeManagerImpl::PrepareConfigureParams,Add types: 
2024-08-09T19:08:28.409Z P:25984 T:22972] SyncManagerImpl::ConfigureSyncer,Types to download: 
2024-08-09T19:08:28.416Z P:25984 T:16232] DataTypeManagerImpl::ConfigurationCompleted,Left: 2
2024-08-09T19:08:28.416Z P:25984 T:16232] DataTypeManagerImpl::StartNextConfiguration,Size: 2 front: Device Info, Send Tab To Self
2024-08-09T19:08:28.416Z P:25984 T:16232] DataTypeManagerImpl::PrepareConfigureParams,Add types: Device Info, Send Tab To Self, Encryption Keys
2024-08-09T19:08:28.417Z P:25984 T:9076] SyncManagerImpl::ConfigureSyncer,Types to download: Device Info, Send Tab To Self, Encryption Keys
2024-08-09T19:08:28.621Z P:25984 T:16232] DataTypeManagerImpl::ConfigurationCompleted,Left: 1
2024-08-09T19:08:28.622Z P:25984 T:16232] DataTypeManagerImpl::StartNextConfiguration,Size: 1 front: User Consents
2024-08-09T19:08:28.622Z P:25984 T:16232] DataTypeManagerImpl::PrepareConfigureParams,Add types: 
2024-08-09T19:08:28.622Z P:25984 T:9076] SyncManagerImpl::ConfigureSyncer,Types to download: 
2024-08-09T19:08:28.622Z P:25984 T:16232] DataTypeManagerImpl::ConfigurationCompleted,Left: 0
2024-08-09T19:08:29.167Z P:25984 T:9076] Commit::PostAndProcessResponse,Device Info: Success
2024-08-09T19:08:29.167Z P:25984 T:9076] Commit::PostAndProcessResponse,User Consents: Success
2024-08-09T19:14:12.980Z P:25984 T:16232] SyncServiceImpl::ResetEngine,Reason: 0
2024-08-11T14:06:49.418Z P:16048 T:6304] SyncServiceImpl::Initialize,SyncState after the account was authenticated: FeatureNotRequestedNotSetup
2024-08-11T14:06:50.365Z P:16048 T:8656] SyncManagerImpl::ConfigureSyncer,Types to download: Encryption Keys
2024-08-11T14:07:02.613Z P:16048 T:6304] SyncServiceImpl::CredentialsChanged,Empty token for EdgeSyncScopeNew
2024-08-11T14:07:02.670Z P:16048 T:6304] SyncServiceImpl::CredentialsChanged,Empty token for EdgeSyncScopeNew
2024-08-11T14:07:04.616Z P:16048 T:6304] SyncServiceImpl::CredentialsChanged,Empty token for EdgeSyncScopeNew
2024-08-11T14:07:07.997Z P:16048 T:6304] SyncServiceImpl::CredentialsChanged,Empty token for EdgeSyncScopeNew
2024-08-11T14:07:15.085Z P:16048 T:6304] SyncServiceImpl::CredentialsChanged,Empty token for EdgeSyncScopeNew
2024-08-11T14:07:29.303Z P:16048 T:6304] SyncServiceImpl::CredentialsChanged,Empty token for EdgeSyncScopeNew
2024-08-11T14:07:56.194Z P:16048 T:6304] SyncServiceImpl::CredentialsChanged,Empty token for EdgeSyncScopeNew
2024-08-11T16:36:55.091Z P:33460 T:29292] SyncServiceImpl::Initialize,SyncState after the account was authenticated: FeatureNotRequestedNotSetup
2024-08-11T16:36:55.339Z P:33460 T:28052] SyncManagerImpl::ConfigureSyncer,Types to download: Encryption Keys
2024-08-11T16:36:58.458Z P:33460 T:29292] SyncServiceImpl::CredentialsChanged,Empty token for EdgeSyncScopeNew
2024-08-11T16:37:00.412Z P:33460 T:29292] SyncServiceImpl::CredentialsChanged,Empty token for EdgeSyncScopeNew
2024-08-11T16:37:03.841Z P:33460 T:29292] SyncServiceImpl::CredentialsChanged,Empty token for EdgeSyncScopeNew
2024-08-11T16:37:11.684Z P:33460 T:29292] SyncServiceImpl::CredentialsChanged,Empty token for EdgeSyncScopeNew
2024-08-11T16:37:24.560Z P:33460 T:29292] SyncServiceImpl::CredentialsChanged,Empty token for EdgeSyncScopeNew
2024-08-11T17:28:55.303Z P:12248 T:8484] SyncServiceImpl::Initialize,SyncState after the account was authenticated: FeatureNotRequestedNotSetup
2024-08-11T17:28:55.663Z P:12248 T:13028] SyncManagerImpl::ConfigureSyncer,Types to download: Encryption Keys
2024-08-11T17:28:55.840Z P:12248 T:8484] SyncServiceImpl::CredentialsChanged,Empty token for EdgeSyncScopeNew
2024-08-11T17:28:55.921Z P:12248 T:8484] SyncServiceImpl::CredentialsChanged,Empty token for EdgeSyncScopeNew
2024-08-11T17:28:57.558Z P:12248 T:8484] SyncServiceImpl::CredentialsChanged,Empty token for EdgeSyncScopeNew
2024-08-11T17:29:00.804Z P:12248 T:8484] SyncServiceImpl::CredentialsChanged,Empty token for EdgeSyncScopeNew
